comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,188,230,136,245,248,125,0.8,0.8,0.8,0.8,0.4273,0.4498,0.4551,0.3749,0.5382,0.262,0,0.497,0.4978,0.4228,0.5758,0.944,0,1.0986,1.0073,1,1
line,fusion_id,3,3,224,242,131,224,256,101,0.8,0.8,0.8,0.8,0.8673,0.4807,0.4828,0.3955,0.5734,0.7167,0,0.4667,0.4724,0.3865,0.5564,0.5153,0,1.0396,1.0613,1,1
line,fusion_id,3,3,214,234,137,244,221,96,0.8,0.8,0.8,0.8,0.438,0.4777,0.4787,0.4015,0.562,0.5827,0,0.5247,0.5217,0.4441,0.5952,0.58,0,1.0474,0.9602,1,1
line,fusion_id,3,3,255,233,138,285,251,135,0.8,0.8,0.8,0.8,0.8393,0.5225,0.5198,0.4541,0.5834,0.5493,0,0.5317,0.5293,0.464,0.5921,0.3767,0,0.9631,0.9449,1,1
line,fusion_id,3,3,234,209,110,211,225,112,0.8,0.8,0.8,0.8,0.386,0.5282,0.5258,0.4595,0.5916,0.41,0,0.4839,0.4866,0.4201,0.556,0.6913,0,0.9515,1.0297,1,1
line,fusion_id,3,3,205,236,129,264,266,119,0.8,0.8,0.8,0.8,0.536,0.4649,0.4682,0.3941,0.5445,0.38,0,0.4981,0.4991,0.4291,0.5696,0.9927,0,1.0692,1.0043,1,1
line,fusion_id,3,3,221,273,138,232,214,109,0.8,0.8,0.8,0.8,0.19,0.4474,0.4505,0.3797,0.524,0.1853,0,0.5202,0.5176,0.4416,0.5917,0.6187,0,1.1083,0.968,1,1
line,fusion_id,3,3,279,243,87,208,221,124,0.8,0.8,0.8,0.8,0.444,0.5345,0.5307,0.4551,0.6031,0.3967,0,0.4848,0.4868,0.4067,0.5657,0.7373,0,0.9426,1.0304,1,1
line,fusion_id,3,3,216,227,124,258,277,104,0.8,0.8,0.8,0.8,0.9053,0.4876,0.4882,0.4226,0.5551,0.7307,0,0.4822,0.4833,0.4212,0.5451,0.5933,0,1.0265,1.0363,1,1
line,fusion_id,3,3,190,202,110,242,228,134,0.8,0.8,0.8,0.8,0.6227,0.4847,0.4863,0.4119,0.5601,0.7033,0,0.5149,0.5126,0.436,0.5868,0.7447,0,1.0308,0.9778,1,1
line,fusion_id,3,3,220,217,130,248,266,127,0.8,0.8,0.8,0.8,0.6507,0.5034,0.5045,0.4363,0.5731,0.9013,0,0.4825,0.484,0.4201,0.5522,0.6067,0,0.9934,1.0349,1,1
line,fusion_id,3,3,215,252,135,257,220,97,0.8,0.8,0.8,0.8,0.1507,0.4604,0.4627,0.3917,0.5327,0.302,0,0.5388,0.535,0.467,0.6007,0.3153,0,1.0809,0.9342,1,1
line,fusion_id,3,3,249,253,125,236,260,102,0.8,0.8,0.8,0.8,0.708,0.496,0.4958,0.4214,0.5688,0.9227,0,0.4758,0.4786,0.4108,0.5469,0.524,0,1.0113,1.0465,1,1
line,fusion_id,3,3,191,237,115,242,247,96,0.8,0.8,0.8,0.8,0.402,0.4463,0.4522,0.383,0.524,0.1867,0,0.4949,0.4947,0.4236,0.5613,0.8873,0,1.1041,1.0132,1,1
line,fusion_id,3,3,250,237,135,260,222,126,0.8,0.8,0.8,0.8,0.6087,0.5133,0.5129,0.4483,0.5775,0.7147,0,0.5394,0.5368,0.4692,0.6012,0.2873,0,0.9768,0.9309,1,1
line,fusion_id,3,3,252,226,128,260,210,108,0.8,0.8,0.8,0.8,0.626,0.5272,0.5251,0.4507,0.5926,0.4687,0,0.5532,0.5471,0.475,0.6148,0.1833,0,0.9532,0.9118,1,1
line,fusion_id,3,3,263,245,115,294,239,120,0.8,0.8,0.8,0.8,0.5047,0.5177,0.517,0.4517,0.5823,0.5913,0,0.5516,0.5477,0.4847,0.6139,0.1373,0,0.9685,0.9105,1,1
line,fusion_id,3,3,216,239,119,230,234,141,0.8,0.8,0.8,0.8,0.7313,0.4747,0.4779,0.4099,0.5526,0.5313,0,0.4957,0.4942,0.4204,0.5658,0.8587,0,1.0481,1.0145,1,1
line,fusion_id,3,3,223,267,128,270,232,122,0.8,0.8,0.8,0.8,0.0913,0.4551,0.4579,0.3936,0.5277,0.194,0,0.5378,0.5342,0.4699,0.599,0.29,0,1.091,0.9356,1,1
line,fusion_id,3,3,235,250,97,252,209,124,0.8,0.8,0.8,0.8,0.3267,0.4845,0.4881,0.4113,0.5636,0.7487,0,0.5466,0.5413,0.4592,0.62,0.3227,0,1.0275,0.9232,1,1
line,fusion_id,3,3,159,206,114,268,259,130,0.8,0.8,0.8,0.8,0.2493,0.4356,0.4434,0.3648,0.5275,0.1787,0,0.5085,0.5084,0.4334,0.5865,0.8253,0,1.1252,0.9861,1,1
line,fusion_id,3,3,199,252,120,199,240,126,0.8,0.8,0.8,0.8,0.822,0.4412,0.4464,0.3746,0.5189,0.136,0,0.4533,0.4586,0.3823,0.5393,0.2707,0,1.1174,1.0905,1,1
line,fusion_id,3,3,239,269,98,239,217,114,0.8,0.8,0.8,0.8,0.3127,0.4705,0.4736,0.4049,0.5459,0.4507,0,0.5241,0.5248,0.4488,0.6028,0.504,0,1.0573,0.9542,1,1
line,fusion_id,3,3,251,183,116,239,265,103,0.8,0.8,0.8,0.8,0.0993,0.5783,0.5676,0.4882,0.6435,0.0967,0,0.4742,0.4761,0.4065,0.5483,0.5107,0,0.875,1.0522,1,1
line,fusion_id,3,3,263,239,125,220,242,116,0.8,0.8,0.8,0.8,0.3887,0.5239,0.5189,0.4537,0.5852,0.544,0,0.4762,0.4783,0.4108,0.547,0.4847,0,0.9648,1.0472,1,1
line,fusion_id,3,3,207,204,123,232,211,129,0.8,0.8,0.8,0.8,0.7233,0.5036,0.5034,0.4238,0.5826,0.9327,0,0.5237,0.5235,0.4468,0.598,0.5567,0,0.9964,0.9567,1,1
line,fusion_id,3,3,256,206,136,256,259,127,0.8,0.8,0.8,0.8,0.3307,0.5541,0.5506,0.48,0.6241,0.168,0,0.4971,0.499,0.4281,0.5699,0.9853,0,0.9054,1.0049,1,1
line,fusion_id,3,3,238,269,115,235,211,111,0.8,0.8,0.8,0.8,0.346,0.4694,0.4724,0.398,0.5478,0.462,0,0.5269,0.5232,0.4442,0.5982,0.5433,0,1.0603,0.9574,1,1
line,fusion_id,3,3,207,244,122,210,275,129,0.8,0.8,0.8,0.8,0.69,0.459,0.4649,0.3822,0.5497,0.4107,0,0.433,0.4417,0.362,0.528,0.1633,0,1.0775,1.1292,1,1
line,fusion_id,3,3,173,267,120,228,253,129,0.8,0.8,0.8,0.8,0.126,0.3932,0.4025,0.3434,0.4672,0.0033,1,0.474,0.4728,0.4093,0.5361,0.4187,0,1.2221,1.0585,1,1
line,fusion_id,3,3,218,223,131,255,270,111,0.8,0.8,0.8,0.8,0.8567,0.4943,0.4951,0.4244,0.5659,0.8973,0,0.4857,0.4863,0.4227,0.5539,0.6907,0,1.0126,1.0301,1,1
line,fusion_id,3,3,230,205,122,206,249,116,0.8,0.8,0.8,0.8,0.164,0.5287,0.5262,0.4569,0.594,0.4593,0,0.4527,0.4569,0.3883,0.5283,0.2167,0,0.9511,1.0936,1,1
line,fusion_id,3,3,220,265,121,221,217,127,0.8,0.8,0.8,0.8,0.3767,0.4536,0.4577,0.3854,0.5339,0.2473,0,0.5046,0.5053,0.4269,0.5827,0.89,0,1.092,0.9924,1,1
line,fusion_id,3,3,245,225,109,267,215,110,0.8,0.8,0.8,0.8,0.5333,0.5213,0.5202,0.4533,0.5861,0.548,0,0.5539,0.5487,0.4788,0.6157,0.1547,0,0.9625,0.9086,1,1
line,fusion_id,3,3,263,247,84,224,224,134,0.8,0.8,0.8,0.8,0.8167,0.5157,0.5132,0.4439,0.5842,0.7207,0,0.5,0.4999,0.4187,0.5802,0.984,0,0.9762,1.0037,1,1
line,fusion_id,3,3,212,195,139,253,252,131,0.8,0.8,0.8,0.8,0.718,0.5209,0.519,0.4412,0.5951,0.6073,0,0.501,0.5008,0.4348,0.5702,0.992,0,0.9653,1.0009,1,1
line,fusion_id,3,3,251,238,106,254,279,100,0.8,0.8,0.8,0.8,0.5293,0.5133,0.5114,0.4354,0.5814,0.7307,0,0.4765,0.4794,0.4092,0.5506,0.56,0,0.98,1.045,1,1
line,fusion_id,3,3,275,252,116,239,260,117,0.8,0.8,0.8,0.8,0.4067,0.5218,0.5198,0.4575,0.5805,0.536,0,0.479,0.482,0.4164,0.5495,0.594,0,0.9631,1.0392,1,1
line,fusion_id,3,3,209,240,106,209,207,124,0.8,0.8,0.8,0.8,0.4493,0.4655,0.4679,0.4034,0.5344,0.328,0,0.5024,0.5029,0.4383,0.5723,0.9567,0,1.0691,0.9966,1,1
line,fusion_id,3,3,226,210,120,231,249,105,0.8,0.8,0.8,0.8,0.5307,0.5183,0.5168,0.4423,0.5935,0.654,0,0.4812,0.4838,0.4121,0.5574,0.654,0,0.9696,1.0361,1,1
line,fusion_id,3,3,249,233,88,257,211,117,0.8,0.8,0.8,0.8,0.488,0.5166,0.5116,0.4392,0.5827,0.7387,0,0.5491,0.5446,0.4743,0.6144,0.2053,0,0.9796,0.9164,1,1
line,fusion_id,3,3,212,211,107,208,230,142,0.8,0.8,0.8,0.8,0.6193,0.5012,0.5015,0.4287,0.5736,0.9653,0,0.4749,0.4761,0.4054,0.5531,0.5087,0,0.9999,1.0523,1,1
line,fusion_id,3,3,245,199,141,279,223,125,0.8,0.8,0.8,0.8,0.924,0.5518,0.5478,0.4725,0.6179,0.1953,0,0.5558,0.5523,0.4793,0.6193,0.1213,0,0.9107,0.9023,1,1
line,fusion_id,3,3,225,265,133,265,239,114,0.8,0.8,0.8,0.8,0.2773,0.4592,0.4627,0.3879,0.5388,0.3267,0,0.5258,0.5212,0.444,0.5968,0.5733,0,1.0813,0.9612,1,1
line,fusion_id,3,3,228,240,130,214,241,133,0.8,0.8,0.8,0.8,0.7287,0.4872,0.4887,0.4227,0.5559,0.7493,0,0.4703,0.4724,0.4011,0.5432,0.4413,0,1.0254,1.0599,1,1
line,fusion_id,3,3,226,268,103,292,251,136,0.8,0.8,0.8,0.8,0.1607,0.4575,0.4631,0.3938,0.5325,0.2833,0,0.5378,0.5332,0.4622,0.6011,0.3293,0,1.0798,0.9377,1,1
line,fusion_id,3,3,234,263,97,228,256,90,0.8,0.8,0.8,0.8,0.9927,0.4708,0.474,0.4039,0.5477,0.4733,0,0.4711,0.4751,0.4009,0.5493,0.478,0,1.0567,1.0544,1,1
line,fusion_id,3,3,233,258,97,240,206,111,0.8,0.8,0.8,0.8,0.2127,0.4745,0.477,0.4161,0.5388,0.468,0,0.5381,0.5349,0.4664,0.6015,0.2953,0,1.0495,0.9345,1,1
line,fusion_id,3,3,252,217,131,256,248,121,0.8,0.8,0.8,0.8,0.5853,0.5373,0.5346,0.4606,0.6041,0.336,0,0.5079,0.5083,0.44,0.5749,0.7987,0,0.9352,0.9858,1,1
line,fusion_id,3,3,207,222,145,261,267,144,0.8,0.8,0.8,0.8,0.8067,0.4825,0.4838,0.4105,0.5596,0.6513,0,0.4943,0.4949,0.421,0.5666,0.9,0,1.0362,1.0131,1,1
line,fusion_id,3,3,265,182,109,256,222,130,0.8,0.8,0.8,0.8,0.296,0.5928,0.5831,0.5165,0.6484,0.018,1,0.5356,0.5339,0.4659,0.5989,0.3233,0,0.847,0.9363,1,1
line,fusion_id,3,3,237,222,106,235,244,119,0.8,0.8,0.8,0.8,0.6567,0.5163,0.5144,0.4378,0.5903,0.708,0,0.4906,0.4914,0.4148,0.5686,0.8193,0,0.9743,1.0208,1,1
line,fusion_id,3,3,247,174,139,250,256,108,0.8,0.8,0.8,0.8,0.1673,0.5867,0.5825,0.491,0.6688,0.0787,0,0.4941,0.4967,0.418,0.5743,0.9467,0,0.849,1.01,1,1
line,fusion_id,3,3,186,237,117,247,253,141,0.8,0.8,0.8,0.8,0.3413,0.4397,0.446,0.3753,0.5174,0.1333,0,0.494,0.493,0.4268,0.5604,0.814,0,1.1182,1.0165,1,1
line,fusion_id,3,3,229,263,101,253,283,132,0.8,0.8,0.8,0.8,0.9247,0.4654,0.4693,0.4046,0.5361,0.3653,0,0.472,0.4732,0.4088,0.5388,0.4087,0,1.0661,1.0577,1,1
line,fusion_id,3,3,219,182,134,208,191,114,0.8,0.8,0.8,0.8,0.662,0.5461,0.5433,0.4652,0.6185,0.278,0,0.5213,0.5195,0.4412,0.5967,0.6127,0,0.9193,0.9645,1,1
line,fusion_id,3,3,208,277,101,278,256,94,0.8,0.8,0.8,0.8,0.1233,0.4289,0.4385,0.3679,0.5103,0.092,0,0.5206,0.517,0.446,0.5864,0.6147,0,1.1355,0.9688,1,1
line,fusion_id,3,3,216,223,119,229,271,132,0.8,0.8,0.8,0.8,0.5027,0.492,0.4928,0.4238,0.5642,0.8313,0,0.458,0.4599,0.3965,0.5281,0.2467,0,1.0173,1.0866,1,1
line,fusion_id,3,3,223,240,153,222,234,128,0.8,0.8,0.8,0.8,0.912,0.4816,0.4821,0.4127,0.5499,0.6087,0,0.4868,0.4881,0.4182,0.5589,0.7253,0,1.0393,1.0267,1,1
line,fusion_id,3,3,289,214,103,207,234,110,0.8,0.8,0.8,0.8,0.094,0.5746,0.5668,0.4941,0.6342,0.0707,0,0.4694,0.4734,0.3993,0.5505,0.4807,0,0.8759,1.0582,1,1
line,fusion_id,3,3,281,255,139,221,203,110,0.8,0.8,0.8,0.8,0.924,0.5243,0.5246,0.4546,0.5952,0.4767,0,0.5212,0.5196,0.4479,0.5898,0.5693,0,0.9541,0.9639,1,1
line,fusion_id,3,3,197,255,111,240,245,143,0.8,0.8,0.8,0.8,0.3347,0.4358,0.4436,0.3741,0.5154,0.1293,0,0.4948,0.4943,0.419,0.5699,0.8653,0,1.1236,1.0147,1,1
line,fusion_id,3,3,239,232,123,222,232,100,0.8,0.8,0.8,0.8,0.766,0.5074,0.507,0.4144,0.5992,0.8653,0,0.489,0.4895,0.4016,0.5808,0.8433,0,0.9902,1.0258,1,1
line,fusion_id,3,3,211,255,118,241,243,102,0.8,0.8,0.8,0.8,0.4187,0.4528,0.4583,0.3867,0.5306,0.262,0,0.4979,0.4982,0.4256,0.5637,0.9487,0,1.0906,1.0061,1,1
line,fusion_id,3,3,275,236,114,245,256,137,0.8,0.8,0.8,0.8,0.3393,0.5382,0.5343,0.4712,0.5973,0.276,0,0.489,0.4899,0.4247,0.5534,0.7687,0,0.9352,1.0228,1,1
line,fusion_id,3,3,224,253,101,234,240,114,0.8,0.8,0.8,0.8,0.6153,0.4696,0.4724,0.4053,0.5427,0.3947,0,0.4937,0.4953,0.4296,0.5619,0.8707,0,1.0595,1.0118,1,1
line,fusion_id,3,3,226,217,109,232,276,117,0.8,0.8,0.8,0.8,0.3047,0.5102,0.5085,0.4416,0.5785,0.8067,0,0.4567,0.4604,0.3967,0.5317,0.2233,0,0.9853,1.0855,1,1
line,fusion_id,3,3,225,213,93,231,200,89,0.8,0.8,0.8,0.8,0.7133,0.5137,0.5131,0.4398,0.5835,0.6873,0,0.536,0.5309,0.4623,0.5991,0.3687,0,0.9767,0.9421,1,1
line,fusion_id,3,3,257,256,121,286,262,125,0.8,0.8,0.8,0.8,0.6887,0.501,0.5018,0.4358,0.5726,0.968,0,0.5219,0.5203,0.4516,0.5894,0.5607,0,0.9988,0.9624,1,1
line,fusion_id,3,3,226,280,127,261,233,119,0.8,0.8,0.8,0.8,0.1,0.4466,0.45,0.3867,0.5159,0.126,0,0.5283,0.5264,0.4604,0.5915,0.4307,0,1.1085,0.9506,1,1
line,fusion_id,3,3,241,246,99,226,220,156,0.8,0.8,0.8,0.8,0.834,0.4949,0.4946,0.4169,0.5701,0.882,0,0.5067,0.5064,0.4197,0.5906,0.8753,0,1.0141,0.9911,1,1
line,fusion_id,3,3,230,235,130,220,224,106,0.8,0.8,0.8,0.8,0.998,0.4946,0.4954,0.4239,0.569,0.898,0,0.4955,0.4952,0.4275,0.5627,0.8887,0,1.012,1.0122,1,1
line,fusion_id,3,3,212,221,128,233,226,125,0.8,0.8,0.8,0.8,0.8173,0.4896,0.4909,0.4139,0.5693,0.8113,0,0.5076,0.5048,0.4323,0.5783,0.8833,0,1.0217,0.9932,1,1
line,fusion_id,3,3,239,224,139,268,221,122,0.8,0.8,0.8,0.8,0.5573,0.5162,0.5153,0.4436,0.5853,0.664,0,0.5481,0.544,0.4796,0.6098,0.2027,0,0.9722,0.9173,1,1
line,fusion_id,3,3,229,214,114,222,234,123,0.8,0.8,0.8,0.8,0.6007,0.5169,0.5146,0.4386,0.5912,0.696,0,0.4868,0.4872,0.4124,0.5637,0.726,0,0.9738,1.0293,1,1
line,fusion_id,3,3,209,271,116,232,221,119,0.8,0.8,0.8,0.8,0.1573,0.4354,0.441,0.3729,0.5095,0.0867,0,0.5121,0.5096,0.4409,0.5785,0.7773,0,1.1294,0.9833,1,1
line,fusion_id,3,3,240,251,102,221,236,157,0.8,0.8,0.8,0.8,0.9,0.4888,0.4911,0.4206,0.562,0.7973,0,0.4836,0.4843,0.4057,0.5655,0.6753,0,1.0208,1.0356,1,1
line,fusion_id,3,3,241,236,110,274,208,121,0.8,0.8,0.8,0.8,0.2573,0.5052,0.5061,0.4372,0.5741,0.862,0,0.5685,0.5634,0.4904,0.6354,0.0813,0,0.9902,0.8821,1,1
line,fusion_id,3,3,225,243,109,249,246,129,0.8,0.8,0.8,0.8,0.6673,0.4808,0.4824,0.4141,0.5465,0.5713,0,0.503,0.5016,0.4364,0.5691,0.9727,0,1.0384,0.9992,1,1
line,fusion_id,3,3,246,278,126,201,212,98,0.8,0.8,0.8,0.8,0.6693,0.4695,0.4683,0.3948,0.5395,0.3767,0,0.4867,0.4888,0.4172,0.5644,0.7593,0,1.0689,1.0257,1,1
line,fusion_id,3,3,256,203,137,203,246,126,0.8,0.8,0.8,0.8,0.0873,0.5577,0.5535,0.4776,0.6253,0.1567,0,0.4521,0.4574,0.3781,0.535,0.2833,0,0.9002,1.0932,1,1
line,fusion_id,3,3,220,249,118,284,269,122,0.8,0.8,0.8,0.8,0.356,0.4691,0.4725,0.407,0.5395,0.396,0,0.5136,0.5142,0.4533,0.5762,0.6567,0,1.0591,0.9738,1,1
line,fusion_id,3,3,246,258,125,244,255,83,0.8,0.8,0.8,0.8,0.9967,0.4881,0.4897,0.4083,0.5738,0.7793,0,0.489,0.4897,0.4074,0.568,0.7953,0,1.0246,1.0245,1,1
line,fusion_id,3,3,236,187,142,234,233,99,0.8,0.8,0.8,0.8,0.3033,0.5579,0.555,0.4768,0.6329,0.1547,0,0.5011,0.4987,0.4263,0.573,0.9593,0,0.8977,1.0053,1,1
line,fusion_id,3,3,197,225,137,230,279,115,0.8,0.8,0.8,0.8,0.806,0.4668,0.4686,0.3879,0.5467,0.4353,0,0.4519,0.4558,0.3828,0.5284,0.2347,0,1.0688,1.0962,1,1
line,fusion_id,3,3,259,241,104,240,252,138,0.8,0.8,0.8,0.8,0.5707,0.518,0.5166,0.449,0.5812,0.6053,0,0.4878,0.4903,0.4185,0.5597,0.762,0,0.9695,1.0223,1,1
line,fusion_id,3,3,235,273,106,242,239,100,0.8,0.8,0.8,0.8,0.4353,0.4626,0.4659,0.3991,0.5314,0.324,0,0.5031,0.5027,0.4355,0.5693,0.936,0,1.0736,0.997,1,1
line,fusion_id,3,3,201,201,103,207,224,123,0.8,0.8,0.8,0.8,0.6847,0.5,0.5013,0.4269,0.5752,0.964,0,0.4803,0.4808,0.4061,0.5545,0.6087,0,1.0003,1.0425,1,1
line,fusion_id,3,3,206,211,125,297,219,123,0.8,0.8,0.8,0.8,0.1547,0.494,0.4947,0.4204,0.5725,0.902,0,0.5756,0.5702,0.5002,0.6366,0.05,0,1.0138,0.8699,1,1
line,fusion_id,3,3,244,213,111,241,190,116,0.8,0.8,0.8,0.8,0.616,0.5339,0.5309,0.4669,0.594,0.3287,0,0.5592,0.5547,0.4886,0.6201,0.1053,0,0.9418,0.8977,1,1
line,fusion_id,3,3,252,223,149,245,227,96,0.8,0.8,0.8,0.8,0.8387,0.5305,0.529,0.4502,0.6022,0.4373,0,0.5191,0.5186,0.448,0.5876,0.594,0,0.9462,0.9659,1,1
line,fusion_id,3,3,215,270,111,287,218,110,0.8,0.8,0.8,0.8,0.0213,0.4433,0.4493,0.379,0.5182,0.1567,0,0.5683,0.563,0.4942,0.6278,0.072,0,1.1106,0.8825,1,1
line,fusion_id,3,3,254,229,135,232,220,128,0.8,0.8,0.8,0.8,0.8087,0.5259,0.5243,0.4544,0.5906,0.4673,0,0.5133,0.512,0.4428,0.5833,0.7253,0,0.9547,0.9787,1,1
line,fusion_id,3,3,266,172,114,242,241,119,0.8,0.8,0.8,0.8,0.0733,0.6073,0.5944,0.5196,0.6641,0.018,1,0.501,0.5015,0.4278,0.5729,0.9727,0,0.8276,0.9996,1,1
line,fusion_id,3,3,247,249,115,215,278,110,0.8,0.8,0.8,0.8,0.2567,0.498,0.4978,0.4272,0.5693,0.9513,0,0.4361,0.4437,0.3778,0.5144,0.114,0,1.007,1.1232,1,1
line,fusion_id,3,3,240,269,112,188,249,129,0.8,0.8,0.8,0.8,0.4693,0.4715,0.4758,0.403,0.5491,0.486,0,0.4302,0.4376,0.3606,0.513,0.096,0,1.0528,1.138,1,1
line,fusion_id,3,3,260,281,125,222,304,110,0.8,0.8,0.8,0.8,0.3393,0.4806,0.4826,0.4081,0.56,0.6347,0,0.4221,0.4331,0.3624,0.5025,0.0613,0,1.0387,1.148,1,1
line,fusion_id,3,3,214,241,114,222,223,122,0.8,0.8,0.8,0.8,0.6213,0.4703,0.4753,0.4056,0.5494,0.49,0,0.4989,0.499,0.4302,0.5698,0.9587,0,1.0537,1.0047,1,1
line,fusion_id,3,3,198,218,121,259,204,99,0.8,0.8,0.8,0.8,0.1187,0.476,0.4769,0.4078,0.5469,0.512,0,0.5594,0.5526,0.4858,0.6172,0.1233,0,1.0501,0.9016,1,1
line,fusion_id,3,3,262,241,150,200,257,152,0.8,0.8,0.8,0.8,0.3213,0.5209,0.5182,0.411,0.6179,0.6973,0,0.4376,0.4459,0.3481,0.5479,0.292,0,0.969,1.1223,1,1
line,fusion_id,3,3,244,240,139,236,226,120,0.8,0.8,0.8,0.8,0.9393,0.5041,0.5055,0.4315,0.5769,0.87,0,0.5108,0.5095,0.4373,0.5833,0.8067,0,0.9916,0.9839,1,1
line,fusion_id,3,3,237,261,104,240,204,112,0.8,0.8,0.8,0.8,0.254,0.4759,0.4782,0.4099,0.5471,0.514,0,0.5405,0.5343,0.4625,0.6037,0.3293,0,1.0473,0.9357,1,1
line,fusion_id,3,3,250,202,105,230,252,133,0.8,0.8,0.8,0.8,0.1693,0.5531,0.5474,0.4714,0.6207,0.184,0,0.4772,0.4774,0.4018,0.5543,0.5273,0,0.9113,1.0495,1,1
line,fusion_id,3,3,262,238,126,231,202,153,0.8,0.8,0.8,0.8,0.8547,0.524,0.5213,0.4468,0.5929,0.5573,0,0.5335,0.5313,0.452,0.6134,0.4227,0,0.9608,0.942,1,1
line,fusion_id,3,3,274,242,125,218,231,102,0.8,0.8,0.8,0.8,0.386,0.531,0.5314,0.4573,0.6027,0.3727,0,0.4855,0.488,0.4163,0.5632,0.7433,0,0.9413,1.0274,1,1
line,fusion_id,3,3,266,227,141,280,246,126,0.8,0.8,0.8,0.8,0.91,0.5396,0.5365,0.4626,0.6056,0.2973,0,0.5323,0.5318,0.4644,0.6024,0.3633,0,0.9315,0.9403,1,1
line,fusion_id,3,3,186,254,120,234,243,103,0.8,0.8,0.8,0.8,0.2547,0.4227,0.4301,0.3575,0.509,0.0753,0,0.4906,0.4912,0.4181,0.5645,0.8087,0,1.1555,1.0208,1,1
line,fusion_id,3,3,178,247,124,225,205,98,0.8,0.8,0.8,0.8,0.0427,0.4188,0.424,0.3553,0.4924,0.0347,1,0.5233,0.5208,0.4569,0.5843,0.5173,0,1.1695,0.961,1,1
line,fusion_id,3,3,187,264,112,229,236,115,0.8,0.8,0.8,0.8,0.11,0.4146,0.4212,0.3581,0.4877,0.022,1,0.4925,0.494,0.4284,0.5589,0.8487,0,1.1758,1.0144,1,1
line,fusion_id,3,3,238,250,122,248,233,145,0.8,0.8,0.8,0.8,0.6207,0.4877,0.4883,0.4123,0.5629,0.7573,0,0.5156,0.5141,0.4381,0.5876,0.6967,0,1.0268,0.9749,1,1
line,fusion_id,3,3,244,282,97,268,241,126,0.8,0.8,0.8,0.8,0.2533,0.4639,0.4698,0.4034,0.5342,0.3487,0,0.5265,0.5243,0.4548,0.5932,0.4887,0,1.065,0.9547,1,1
line,fusion_id,3,3,225,233,120,289,256,109,0.8,0.8,0.8,0.8,0.466,0.4913,0.4929,0.4218,0.5673,0.8413,0,0.5303,0.5296,0.459,0.5995,0.3447,0,1.0171,0.9443,1,1
line,fusion_id,3,3,235,183,88,227,262,170,0.8,0.8,0.8,0.8,0.208,0.5622,0.5513,0.4586,0.6353,0.26,0,0.4642,0.4653,0.3682,0.568,0.4887,0,0.9052,1.0787,1,1
line,fusion_id,3,3,254,242,116,286,274,117,0.8,0.8,0.8,0.8,0.9847,0.5121,0.5102,0.4433,0.5791,0.7813,0,0.5107,0.5094,0.4466,0.5749,0.774,0,0.9822,0.9835,1,1
line,fusion_id,3,3,248,199,117,209,248,98,0.8,0.8,0.8,0.8,0.064,0.5548,0.5513,0.4852,0.6171,0.134,0,0.4573,0.4617,0.3959,0.5282,0.2533,0,0.9038,1.0826,1,1
line,fusion_id,3,3,230,228,123,201,258,114,0.8,0.8,0.8,0.8,0.262,0.5022,0.5024,0.4302,0.5762,0.938,0,0.4379,0.4453,0.3744,0.522,0.1373,0,0.998,1.1201,1,1
line,fusion_id,3,3,225,263,123,235,211,123,0.8,0.8,0.8,0.8,0.322,0.4611,0.4664,0.3899,0.5466,0.38,0,0.5269,0.5239,0.4368,0.6028,0.5433,0,1.0736,0.9566,1,1
line,fusion_id,3,3,199,247,96,242,205,111,0.8,0.8,0.8,0.8,0.066,0.4462,0.452,0.3876,0.5163,0.146,0,0.5414,0.538,0.4723,0.6029,0.2553,0,1.104,0.9286,1,1
line,fusion_id,3,3,269,229,142,214,208,118,0.8,0.8,0.8,0.8,0.554,0.5402,0.5386,0.4631,0.6083,0.2933,0,0.5071,0.5058,0.4349,0.5782,0.8827,0,0.9278,0.9912,1,1
line,fusion_id,3,3,256,249,127,239,268,116,0.8,0.8,0.8,0.8,0.4527,0.5069,0.5059,0.4415,0.5699,0.8753,0,0.4714,0.4738,0.4125,0.5344,0.4027,0,0.9903,1.0562,1,1
line,fusion_id,3,3,246,217,98,192,223,118,0.8,0.8,0.8,0.8,0.2867,0.5313,0.5283,0.4481,0.6034,0.44,0,0.4627,0.4674,0.3869,0.5485,0.422,0,0.9477,1.0718,1,1
line,fusion_id,3,3,243,207,123,206,243,136,0.8,0.8,0.8,0.8,0.1733,0.54,0.5348,0.4592,0.6058,0.3633,0,0.4588,0.4615,0.3863,0.5368,0.3093,0,0.9351,1.0839,1,1
line,fusion_id,3,3,211,268,120,247,201,114,0.8,0.8,0.8,0.8,0.0347,0.4405,0.4442,0.3784,0.514,0.1133,0,0.5513,0.5476,0.4834,0.6113,0.142,0,1.1219,0.9106,1,1
