comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,213,232,127,262,235,111,0.8,0.8,0.8,0.8,0.803333333333333,0.950436303487633,0.4787,0.5029,0.4478,0.5568,0.92,0,0.5272,0.5072,0.4541,0.5639,0.826,0,0.9958,0.9873,0.799873,0.658472,2.003154,1,1
line,fusion_id,3,3,268,233,125,250,266,120,0.8,0.8,0.8,0.8,0.801333333333333,0.95079872710538,0.5349,0.5094,0.4602,0.559,0.7207,0,0.4845,0.5063,0.4587,0.5565,0.8253,0,0.9827,0.9888,0.811342,0.670271,1.998058,1,1
line,fusion_id,3,3,236,190,87,252,274,106,0.8,0.8,0.8,0.8,0.732,0.950227201953504,0.554,0.5172,0.4596,0.5774,0.57,0,0.4791,0.5117,0.4534,0.569,0.6873,0,0.9678,0.9785,0.796621,0.68066,1.904124,1,1
line,fusion_id,3,3,229,298,133,234,244,120,0.8,0.8,0.8,0.8,0.805333333333333,0.950943900763682,0.4345,0.4599,0.4033,0.5151,0.1313,0,0.4895,0.463,0.4066,0.5161,0.162,0,1.0856,1.0788,0.809168,0.690229,1.957395,1,1
line,fusion_id,3,3,219,259,131,244,224,116,0.8,0.8,0.8,0.8,0.802,0.950005604993641,0.4582,0.4896,0.4295,0.5478,0.742,0,0.5214,0.4929,0.4336,0.5514,0.7973,0,1.0231,1.0164,0.800349,0.678655,1.982375,1,1
line,fusion_id,3,3,226,222,102,199,237,121,0.8,0.8,0.8,0.8,0.815333333333333,0.95250449741463,0.5045,0.4838,0.4298,0.5383,0.5553,0,0.4564,0.481,0.425,0.5352,0.486,0,1.0346,1.0406,0.805169,0.695617,1.913581,1,1
line,fusion_id,3,3,241,198,125,219,187,113,0.8,0.8,0.8,0.8,0.974666666666667,0.950436972100219,0.549,0.5433,0.4871,0.5965,0.1167,0,0.5394,0.5426,0.4866,0.5981,0.1267,0,0.918,0.9194,0.793556,0.638697,1.993591,1,1
line,fusion_id,3,3,233,255,133,250,233,119,0.8,0.8,0.8,0.8,0.832,0.952623594540335,0.4775,0.4962,0.4455,0.5474,0.874,0,0.5176,0.4989,0.447,0.5495,0.9587,0,1.0089,1.0036,0.807738,0.69348,1.948095,1,1
line,fusion_id,3,3,238,186,105,229,229,139,0.8,0.8,0.8,0.8,0.803333333333333,0.951942261416827,0.5613,0.5328,0.4783,0.5897,0.234,0,0.5,0.5294,0.4733,0.585,0.2867,0,0.9377,0.9442,0.798063,0.678099,1.905605,1,1
line,fusion_id,3,3,273,254,127,227,268,114,0.8,0.8,0.8,0.8,0.795333333333333,0.951367765327959,0.518,0.4899,0.4329,0.5464,0.7107,0,0.4586,0.4861,0.4269,0.5424,0.6053,0,1.0223,1.03,0.804913,0.703505,1.880936,1,1
