comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,254,242,116,286,274,117,0.8,0.8,0.8,0.8,0.996666666666667,0.952616151749199,0.5121,0.5114,0.4578,0.5652,0.666,0,0.5107,0.5112,0.4566,0.5638,0.658,0,0.9789,0.9792,0.793035,0.670942,1.968695,1,1
line,fusion_id,3,3,248,199,117,209,248,98,0.8,0.8,0.8,0.8,0.615333333333333,0.951205314978585,0.5548,0.5079,0.4539,0.5633,0.7873,0,0.4573,0.5,0.4401,0.5536,0.9753,0,0.9859,1.0016,0.781459,0.65045,1.902906,1,1
line,fusion_id,3,3,230,228,123,201,258,114,0.8,0.8,0.8,0.8,0.812666666666667,0.950682379359468,0.5022,0.4731,0.4142,0.5317,0.358,0,0.4379,0.4677,0.4084,0.5258,0.268,0,1.0574,1.0689,0.7908,0.666999,1.95241,1,1
line,fusion_id,3,3,225,263,123,235,211,123,0.8,0.8,0.8,0.8,0.792666666666667,0.950598790948311,0.4611,0.491,0.4238,0.5541,0.7973,0,0.5269,0.4958,0.4309,0.559,0.906,0,1.0204,1.0107,0.807123,0.673406,1.920709,1,1
line,fusion_id,3,3,199,247,96,242,205,111,0.8,0.8,0.8,0.8,0.628,0.950334960557976,0.4462,0.4892,0.4336,0.5411,0.694,0,0.5414,0.4978,0.4469,0.5532,0.9153,0,1.0235,1.0059,0.803608,0.690964,1.94358,1,1
line,fusion_id,3,3,269,229,142,214,208,118,0.8,0.8,0.8,0.8,0.867333333333333,0.950352034313943,0.5402,0.5249,0.4701,0.5819,0.3827,0,0.5071,0.5226,0.469,0.5778,0.4233,0,0.9528,0.9572,0.813564,0.687757,1.935986,1,1
line,fusion_id,3,3,256,249,127,239,268,116,0.8,0.8,0.8,0.8,0.842666666666667,0.952402007047431,0.5069,0.4904,0.4444,0.5389,0.6867,0,0.4714,0.4881,0.4415,0.5347,0.6213,0,1.0205,1.0253,0.804885,0.692437,1.960262,1,1
line,fusion_id,3,3,246,217,98,192,223,118,0.8,0.8,0.8,0.8,0.820666666666667,0.951936931585117,0.5313,0.5014,0.4351,0.561,0.9513,0,0.4627,0.4984,0.4329,0.5604,0.964,0,0.9992,1.0054,0.801842,0.687141,1.927477,1,1
line,fusion_id,3,3,243,207,123,206,243,136,0.8,0.8,0.8,0.8,0.766666666666667,0.951742503684523,0.54,0.5011,0.4409,0.5617,0.9513,0,0.4588,0.4961,0.436,0.554,0.908,0,0.9996,1.0098,0.80643,0.680762,1.967274,1,1
line,fusion_id,3,3,211,268,120,247,201,114,0.8,0.8,0.8,0.8,0.583333333333333,0.947426666244665,0.4405,0.4858,0.4118,0.544,0.6647,0,0.5513,0.5015,0.4393,0.576,0.9987,0,1.0313,0.9993,0.803329,0.668136,1.98108,1,1
line,fusion_id,3,3,249,253,130,256,239,94,0.8,0.8,0.8,0.8,0.954,0.950246530013237,0.496,0.5063,0.4549,0.5575,0.8027,0,0.5172,0.5073,0.4572,0.5585,0.7713,0,0.9889,0.9868,0.798194,0.675462,1.972523,1,1
line,fusion_id,3,3,237,221,160,215,256,98,0.8,0.8,0.8,0.8,0.814666666666667,0.952454093662109,0.5175,0.4905,0.4266,0.5564,0.784,0,0.4565,0.4871,0.4242,0.5518,0.674,0,1.0216,1.0284,0.804034,0.681202,1.899775,1,1
line,fusion_id,3,3,277,245,107,228,265,111,0.8,0.8,0.8,0.8,0.733333333333333,0.951917762109138,0.5307,0.5024,0.4466,0.5585,0.932,0,0.4625,0.4979,0.4429,0.5542,0.932,0,0.9969,1.0059,0.803084,0.674656,1.92838,1,1
line,fusion_id,3,3,255,227,117,212,252,141,0.8,0.8,0.8,0.8,0.735333333333333,0.951327584070069,0.529,0.4955,0.4374,0.5527,0.8987,0,0.4569,0.4903,0.4301,0.5469,0.7467,0,1.011,1.0215,0.795431,0.660469,1.974334,1,1
line,fusion_id,3,3,233,267,130,224,225,126,0.8,0.8,0.8,0.8,0.852,0.95158337687193,0.466,0.4794,0.4261,0.5344,0.4427,0,0.4989,0.4821,0.4272,0.5362,0.5173,0,1.0439,1.0382,0.785568,0.664445,1.901282,1,1
line,fusion_id,3,3,242,263,126,268,243,90,0.8,0.8,0.8,0.8,0.838666666666667,0.951597081539026,0.4792,0.5005,0.4459,0.5562,0.996,0,0.5245,0.5029,0.4477,0.5538,0.9073,0,1.0006,0.9956,0.79073,0.663177,1.998504,1,1
line,fusion_id,3,3,299,221,139,250,199,129,0.8,0.8,0.8,0.8,0.918666666666667,0.951134009048504,0.575,0.5683,0.5114,0.6197,0.022,1,0.5568,0.5669,0.5124,0.6176,0.0253,1,0.8726,0.8751,0.802992,0.680342,1.891601,1,1
line,fusion_id,3,3,251,216,132,244,263,113,0.8,0.8,0.8,0.8,0.773333333333333,0.952814662821324,0.5375,0.5105,0.462,0.5594,0.6687,0,0.4813,0.5069,0.4595,0.5546,0.78,0,0.9803,0.9875,0.799791,0.684312,1.920972,1,1
line,fusion_id,3,3,257,209,118,257,290,112,0.8,0.8,0.8,0.8,0.698666666666667,0.952940177659943,0.5515,0.5115,0.4579,0.5673,0.6827,0,0.4698,0.5063,0.4522,0.5614,0.8153,0,0.9787,0.9889,0.801355,0.663673,2.001308,1,1
line,fusion_id,3,3,296,230,124,203,265,126,0.8,0.8,0.8,0.8,0.754666666666667,0.951398290793493,0.5627,0.5024,0.4288,0.5792,0.932,0,0.4338,0.4973,0.4225,0.5755,0.9493,0,0.9979,1.0083,0.794518,0.662933,1.968837,1,1
line,fusion_id,3,3,229,206,119,264,205,129,0.8,0.8,0.8,0.8,0.845333333333333,0.953372942917086,0.5264,0.5443,0.4937,0.5931,0.0887,0,0.5629,0.5469,0.4939,0.5965,0.074,0,0.916,0.9113,0.813142,0.696293,1.951592,1,1
line,fusion_id,3,3,193,267,110,215,243,127,0.8,0.8,0.8,0.8,0.797333333333333,0.950819069903708,0.4196,0.4435,0.396,0.4927,0.0247,1,0.4694,0.4471,0.4003,0.4972,0.038,1,1.1219,1.1136,0.794875,0.659256,2.004996,1,1
line,fusion_id,3,3,215,257,124,219,250,137,0.8,0.8,0.8,0.8,0.961333333333333,0.952325082088496,0.4555,0.4622,0.4132,0.5109,0.1247,0,0.467,0.4629,0.4123,0.5128,0.1393,0,1.0803,1.0788,0.796383,0.665437,1.943389,1,1
line,fusion_id,3,3,291,224,119,241,252,130,0.8,0.8,0.8,0.8,0.66,0.951308855053164,0.565,0.5299,0.481,0.58,0.2107,0,0.4888,0.5243,0.4735,0.5731,0.316,0,0.943,0.9537,0.791777,0.649781,1.970791,1,1
line,fusion_id,3,3,216,240,92,226,254,116,0.8,0.8,0.8,0.8,0.996666666666667,0.9528661572836,0.4737,0.4734,0.4215,0.5279,0.326,0,0.4708,0.4735,0.4218,0.5286,0.32,0,1.0565,1.0563,0.810298,0.686417,1.95751,1,1
line,fusion_id,3,3,301,286,100,218,238,135,0.8,0.8,0.8,0.8,0.866,0.951484841209745,0.5128,0.4983,0.447,0.5505,0.9387,0,0.4781,0.4962,0.4439,0.548,0.902,0,1.0047,1.0091,0.812643,0.689688,1.98939,1,1
line,fusion_id,3,3,259,242,136,245,260,124,0.8,0.8,0.8,0.8,0.851333333333333,0.952802300135453,0.517,0.5016,0.4538,0.5519,0.976,0,0.4851,0.4992,0.4507,0.5526,0.954,0,0.9982,1.0028,0.778454,0.647514,1.951452,1,1
line,fusion_id,3,3,207,233,115,211,220,116,0.8,0.8,0.8,0.8,0.909333333333333,0.952530040699772,0.4705,0.4803,0.4257,0.5311,0.4293,0,0.4896,0.4815,0.4274,0.5319,0.4707,0,1.0418,1.0394,0.796824,0.66507,1.938127,1,1
line,fusion_id,3,3,254,255,127,283,223,105,0.8,0.8,0.8,0.8,0.763333333333333,0.952090440971525,0.499,0.5267,0.4734,0.5809,0.312,0,0.5593,0.5306,0.4792,0.5844,0.2473,0,0.9492,0.9418,0.792584,0.660479,2.003692,1,1
line,fusion_id,3,3,259,246,92,217,248,119,0.8,0.8,0.8,0.8,0.869333333333333,0.952390651535199,0.5129,0.4926,0.4336,0.5532,0.802,0,0.4667,0.4904,0.432,0.5492,0.7327,0,1.0169,1.0213,0.819985,0.701228,1.970373,1,1
line,fusion_id,3,3,256,215,138,249,232,120,0.8,0.8,0.8,0.8,0.877333333333333,0.952596485279556,0.5435,0.5314,0.4757,0.5862,0.24,0,0.5177,0.5298,0.4753,0.5832,0.256,0,0.9403,0.9433,0.812258,0.695277,1.952554,1,1
line,fusion_id,3,3,234,277,115,230,247,134,0.8,0.8,0.8,0.8,0.879333333333333,0.951170231421949,0.4579,0.4684,0.4196,0.5184,0.2067,0,0.4822,0.4704,0.4198,0.5218,0.248,0,1.0668,1.0626,0.805765,0.673819,2.030672,1,1
line,fusion_id,3,3,243,268,127,201,213,134,0.8,0.8,0.8,0.8,0.964666666666667,0.950567939338051,0.4755,0.4794,0.4189,0.5388,0.4473,0,0.4855,0.4805,0.4183,0.5417,0.4887,0,1.0441,1.0419,0.802849,0.686994,1.919545,1,1
line,fusion_id,3,3,267,268,133,262,315,119,0.8,0.8,0.8,0.8,0.808,0.95340314841965,0.4991,0.478,0.4305,0.5268,0.3813,0,0.4541,0.475,0.4284,0.5242,0.3093,0,1.0464,1.0527,0.803677,0.677966,1.971314,1,1
line,fusion_id,3,3,257,266,111,261,254,120,0.8,0.8,0.8,0.8,0.928,0.952313789034155,0.4914,0.4966,0.4456,0.5484,0.8927,0,0.5068,0.4979,0.4481,0.5471,0.932,0,1.0082,1.0056,0.806756,0.70954,1.89944,1,1
line,fusion_id,3,3,210,271,129,213,276,119,0.8,0.8,0.8,0.8,0.992666666666667,0.952279532861335,0.4366,0.4361,0.3834,0.4882,0.02,1,0.4356,0.4363,0.3844,0.489,0.0213,1,1.1391,1.1387,0.808025,0.672292,1.985752,1,1
line,fusion_id,3,3,256,220,112,236,238,97,0.8,0.8,0.8,0.8,0.898666666666667,0.951303740297031,0.5378,0.519,0.4534,0.5827,0.52,0,0.4979,0.5168,0.4502,0.5786,0.5707,0,0.9645,0.9688,0.788241,0.644761,1.948024,1,1
line,fusion_id,3,3,291,220,119,248,214,160,0.8,0.8,0.8,0.8,0.880666666666667,0.952569933439806,0.5695,0.556,0.5021,0.6116,0.0433,1,0.5368,0.5539,0.5008,0.6094,0.048,1,0.8948,0.8986,0.802155,0.68209,1.990471,1,1
line,fusion_id,3,3,253,237,105,242,263,109,0.8,0.8,0.8,0.8,0.859333333333333,0.951755146831012,0.5163,0.4995,0.4492,0.5517,0.982,0,0.4792,0.4971,0.4469,0.548,0.91,0,1.0024,1.0072,0.82644,0.69659,1.983474,1,1
line,fusion_id,3,3,224,232,121,251,243,136,0.8,0.8,0.8,0.8,0.965333333333333,0.951724340331134,0.4912,0.4995,0.441,0.5584,0.9907,0,0.5081,0.5003,0.4419,0.5585,0.9873,0,1.0029,1.0011,0.792564,0.665099,1.938107,1,1
line,fusion_id,3,3,254,233,136,254,260,129,0.8,0.8,0.8,0.8,0.876666666666667,0.951246182724678,0.5216,0.5083,0.4614,0.5559,0.72,0,0.4942,0.5066,0.4595,0.5536,0.7853,0,0.9846,0.988,0.80963,0.64564,2.041488,1,1
line,fusion_id,3,3,230,250,109,207,262,104,0.8,0.8,0.8,0.8,0.858,0.953500063952554,0.4792,0.4617,0.4044,0.5189,0.176,0,0.4414,0.4599,0.4033,0.5173,0.1587,0,1.0818,1.0858,0.806938,0.7103,1.947172,1,1
line,fusion_id,3,3,211,237,126,288,265,103,0.8,0.8,0.8,0.8,0.842,0.950831903812314,0.471,0.4944,0.4338,0.5536,0.854,0,0.5208,0.4972,0.437,0.5547,0.9453,0,1.0131,1.0074,0.807004,0.679673,1.959996,1,1
line,fusion_id,3,3,282,206,128,220,255,113,0.8,0.8,0.8,0.8,0.605333333333333,0.950690328429331,0.5779,0.5254,0.4644,0.5884,0.372,0,0.4632,0.5166,0.4534,0.5781,0.57,0,0.9521,0.969,0.804613,0.687809,1.95062,1,1
line,fusion_id,3,3,250,203,114,220,286,108,0.8,0.8,0.8,0.8,0.604666666666667,0.951187206368383,0.5519,0.4941,0.4338,0.5568,0.8087,0,0.4348,0.4857,0.4248,0.5459,0.6233,0,1.0138,1.031,0.787329,0.638357,2.000782,1,1
line,fusion_id,3,3,272,223,119,285,235,106,0.8,0.8,0.8,0.8,0.96,0.953151067730064,0.5495,0.5476,0.4976,0.5959,0.0653,0,0.5481,0.5471,0.4978,0.5959,0.062,0,0.9098,0.9108,0.821974,0.692466,1.994786,1,1
line,fusion_id,3,3,218,223,115,239,238,87,0.8,0.8,0.8,0.8,0.968,0.952711616739542,0.4943,0.4977,0.4379,0.5535,0.9393,0,0.501,0.4982,0.4414,0.5533,0.9433,0,1.0064,1.0053,0.793317,0.685847,1.892399,1,1
line,fusion_id,3,3,289,231,134,195,235,119,0.8,0.8,0.8,0.8,0.612666666666667,0.94715376548469,0.5558,0.5133,0.4556,0.5798,0.6487,0,0.4535,0.4996,0.4318,0.5551,0.9547,0,0.9755,1.0026,0.80437,0.663452,2.042921,1,1
line,fusion_id,3,3,230,220,123,221,238,103,0.8,0.8,0.8,0.8,0.858666666666667,0.950989915641911,0.5111,0.4972,0.4439,0.5502,0.9047,0,0.4815,0.4953,0.4445,0.5486,0.8513,0,1.0071,1.0109,0.787992,0.660136,1.923384,1,1
line,fusion_id,3,3,238,273,112,202,260,82,0.8,0.8,0.8,0.8,0.922,0.952087104898294,0.4658,0.4553,0.4038,0.5079,0.102,0,0.4372,0.4539,0.4037,0.5055,0.0767,0,1.0957,1.0988,0.816337,0.70103,1.973506,1,1
line,fusion_id,3,3,258,215,131,219,248,125,0.8,0.8,0.8,0.8,0.758666666666667,0.951206836523022,0.5455,0.5114,0.4522,0.5709,0.6893,0,0.469,0.5069,0.446,0.5656,0.8207,0,0.9792,0.988,0.808563,0.696582,1.951553,1,1
line,fusion_id,3,3,273,276,126,221,208,122,0.8,0.8,0.8,0.8,0.936,0.952380694051639,0.4973,0.5037,0.4511,0.5569,0.9053,0,0.5152,0.5049,0.4527,0.5604,0.8593,0,0.9939,0.9916,0.80057,0.671606,1.953327,1,1
line,fusion_id,3,3,308,203,104,244,217,151,0.8,0.8,0.8,0.8,0.717333333333333,0.951838018607288,0.6027,0.5705,0.5193,0.6194,0.01,1,0.5293,0.5659,0.5147,0.6155,0.012,1,0.8685,0.8768,0.809765,0.689747,1.931379,1,1
line,fusion_id,3,3,237,255,146,246,239,126,0.8,0.8,0.8,0.8,0.904,0.950663223272542,0.4817,0.4938,0.4427,0.5448,0.7893,0,0.5072,0.4957,0.4462,0.5474,0.8433,0,1.0139,1.0101,0.801546,0.669347,1.960833,1,1
line,fusion_id,3,3,246,217,105,216,203,120,0.8,0.8,0.8,0.8,0.925333333333333,0.952476861256634,0.5313,0.524,0.4726,0.5732,0.3313,0,0.5155,0.523,0.4698,0.5697,0.348,0,0.9543,0.9562,0.791574,0.662169,1.971148,1,1
line,fusion_id,3,3,226,234,115,287,239,110,0.8,0.8,0.8,0.8,0.782,0.953218862712162,0.4913,0.5193,0.4664,0.5713,0.4413,0,0.5456,0.5227,0.4705,0.5748,0.366,0,0.9633,0.9568,0.817504,0.692197,1.94534,1,1
line,fusion_id,3,3,250,208,136,201,216,102,0.8,0.8,0.8,0.8,0.810666666666667,0.9503120455816,0.5459,0.5163,0.4615,0.5722,0.5587,0,0.482,0.5121,0.4558,0.5663,0.656,0,0.9694,0.9776,0.80163,0.684147,1.965024,1,1
line,fusion_id,3,3,177,229,102,272,226,107,0.8,0.8,0.8,0.8,0.599333333333333,0.950410574005075,0.436,0.4912,0.4324,0.5498,0.7467,0,0.5462,0.5008,0.4455,0.5611,0.9947,0,1.0197,1.0001,0.787954,0.66644,1.927737,1,1
line,fusion_id,3,3,309,278,124,274,245,106,0.8,0.8,0.8,0.8,0.993333333333333,0.953813639055103,0.5264,0.5281,0.4766,0.5786,0.2827,0,0.5279,0.5279,0.4766,0.5787,0.274,0,0.9466,0.9468,0.795388,0.661998,1.980392,1,1
line,fusion_id,3,3,207,229,118,246,235,105,0.8,0.8,0.8,0.8,0.905333333333333,0.951868946087713,0.4748,0.4933,0.4302,0.5498,0.836,0,0.5114,0.4951,0.4343,0.5522,0.8693,0,1.0153,1.0117,0.797144,0.673432,1.947086,1,1
line,fusion_id,3,3,240,233,146,291,227,118,0.8,0.8,0.8,0.8,0.801333333333333,0.952518041671873,0.5074,0.5339,0.4812,0.5888,0.188,0,0.5618,0.5367,0.4839,0.5903,0.154,0,0.9356,0.9302,0.818851,0.705332,1.950946,1,1
line,fusion_id,3,3,285,235,111,233,262,125,0.8,0.8,0.8,0.8,0.717333333333333,0.952570367581764,0.5481,0.5128,0.4594,0.5685,0.652,0,0.4707,0.5079,0.4531,0.5648,0.788,0,0.9761,0.9859,0.810528,0.693228,1.973525,1,1
line,fusion_id,3,3,239,256,97,278,242,96,0.8,0.8,0.8,0.8,0.822,0.951737420808264,0.4828,0.5068,0.4489,0.5672,0.8133,0,0.5346,0.5105,0.453,0.569,0.7173,0,0.9882,0.9809,0.808092,0.69215,1.941237,1,1
line,fusion_id,3,3,255,201,97,226,266,116,0.8,0.8,0.8,0.8,0.718666666666667,0.950960224383956,0.5592,0.5105,0.4456,0.5773,0.7453,0,0.4593,0.5044,0.4371,0.5708,0.872,0,0.9814,0.9935,0.789173,0.688662,1.914112,1,1
line,fusion_id,3,3,232,251,131,228,265,131,0.8,0.8,0.8,0.8,0.954,0.953522813909761,0.4803,0.4717,0.4217,0.5207,0.2553,0,0.4625,0.4709,0.4221,0.5199,0.2287,0,1.0599,1.0615,0.801394,0.646478,2.037801,1,1
line,fusion_id,3,3,211,257,154,240,262,113,0.8,0.8,0.8,0.8,0.883333333333333,0.950999738692432,0.4509,0.4641,0.4081,0.516,0.1853,0,0.4781,0.4661,0.411,0.5213,0.212,0,1.0765,1.0721,0.7983,0.673061,1.969502,1,1
line,fusion_id,3,3,272,173,131,231,236,129,0.8,0.8,0.8,0.8,0.658666666666667,0.951732400019566,0.6112,0.5568,0.4956,0.6185,0.076,0,0.4946,0.5496,0.4864,0.614,0.1147,0,0.8937,0.9068,0.805241,0.665847,2.003504,1,1
line,fusion_id,3,3,206,213,110,246,226,117,0.8,0.8,0.8,0.8,0.84,0.951359237597477,0.4916,0.5069,0.4515,0.5638,0.8073,0,0.5212,0.5096,0.4541,0.566,0.7367,0,0.9878,0.9825,0.790721,0.656121,1.899241,1,1
line,fusion_id,3,3,261,233,103,257,238,108,0.8,0.8,0.8,0.8,0.937333333333333,0.952353548740412,0.5283,0.5254,0.4756,0.5784,0.318,0,0.5192,0.5246,0.4756,0.5773,0.3233,0,0.9516,0.9531,0.792574,0.690288,1.90219,1,1
line,fusion_id,3,3,239,236,100,206,221,91,0.8,0.8,0.8,0.8,0.920666666666667,0.951969338596257,0.5032,0.4943,0.4418,0.5489,0.824,0,0.4824,0.4931,0.4393,0.5477,0.7907,0,1.013,1.0154,0.795238,0.670968,1.963778,1,1
line,fusion_id,3,3,280,237,129,221,239,111,0.8,0.8,0.8,0.8,0.730666666666667,0.951094863944665,0.5416,0.515,0.4636,0.566,0.558,0,0.4804,0.5102,0.4555,0.5611,0.6633,0,0.9717,0.9811,0.791933,0.669536,1.897948,1,1
line,fusion_id,3,3,269,250,104,223,207,119,0.8,0.8,0.8,0.8,0.986,0.950802588348395,0.5183,0.5183,0.4652,0.5731,0.5013,0,0.5186,0.5183,0.4642,0.5744,0.5053,0,0.9655,0.9654,0.817774,0.712392,1.966604,1,1
line,fusion_id,3,3,243,236,116,248,269,163,0.8,0.8,0.8,0.8,0.885333333333333,0.951953788695416,0.5073,0.4948,0.4399,0.5485,0.8487,0,0.4797,0.493,0.4377,0.5471,0.8053,0,1.0121,1.0157,0.812567,0.702943,1.968335,1,1
line,fusion_id,3,3,242,210,102,242,226,150,0.8,0.8,0.8,0.8,0.96,0.951706819867805,0.5354,0.5254,0.4716,0.5757,0.322,0,0.5171,0.5248,0.4711,0.5751,0.3367,0,0.9517,0.9528,0.789011,0.663086,1.927901,1,1
line,fusion_id,3,3,275,239,123,223,301,108,0.8,0.8,0.8,0.8,0.656666666666667,0.951308061204706,0.535,0.483,0.4257,0.5454,0.5507,0,0.4256,0.4756,0.417,0.5346,0.4167,0,1.0368,1.0522,0.789144,0.664045,1.93907,1,1
line,fusion_id,3,3,227,255,132,220,278,96,0.8,0.8,0.8,0.8,0.896666666666667,0.9512023010249,0.471,0.4572,0.4054,0.5124,0.1147,0,0.4418,0.4553,0.4032,0.511,0.1073,0,1.0915,1.0957,0.807904,0.690207,1.956146,1,1
line,fusion_id,3,3,274,224,130,224,224,108,0.8,0.8,0.8,0.8,0.824,0.951368658372948,0.5502,0.5283,0.4781,0.5808,0.2847,0,0.5,0.5255,0.4735,0.5747,0.3247,0,0.9461,0.9514,0.805652,0.69328,1.918102,1,1
line,fusion_id,3,3,194,215,136,248,265,107,0.8,0.8,0.8,0.8,0.963333333333333,0.95201837955659,0.4743,0.4793,0.4231,0.5393,0.4487,0,0.4834,0.4798,0.4243,0.5355,0.4613,0,1.0442,1.0431,0.812587,0.709968,1.935506,1,1
line,fusion_id,3,3,175,248,135,238,243,137,0.8,0.8,0.8,0.8,0.772,0.95046649331529,0.4137,0.453,0.3882,0.5197,0.158,0,0.4948,0.4574,0.3912,0.527,0.2007,0,1.1021,1.0922,0.806467,0.684951,1.957825,1,1
line,fusion_id,3,3,230,217,114,199,247,130,0.8,0.8,0.8,0.8,0.796666666666667,0.949718237375162,0.5145,0.4813,0.4144,0.5493,0.5547,0,0.4462,0.4773,0.4101,0.5424,0.4813,0,1.0408,1.0491,0.812599,0.665264,1.963062,1,1
line,fusion_id,3,3,237,286,119,226,251,99,0.8,0.8,0.8,0.8,0.917333333333333,0.951831274226932,0.4532,0.4616,0.4055,0.5135,0.1567,0,0.4738,0.4631,0.4066,0.5157,0.174,0,1.082,1.0788,0.815966,0.686042,1.975943,1,1
line,fusion_id,3,3,214,239,105,270,270,123,0.8,0.8,0.8,0.8,0.889333333333333,0.951574392178829,0.4724,0.4845,0.4233,0.5419,0.5893,0,0.5,0.4866,0.4265,0.5432,0.6353,0,1.0334,1.029,0.825867,0.690146,1.917103,1,1
line,fusion_id,3,3,221,191,96,273,227,100,0.8,0.8,0.8,0.8,0.954666666666667,0.949948268002981,0.5364,0.5395,0.4868,0.5915,0.1447,0,0.546,0.5402,0.4876,0.5901,0.128,0,0.925,0.9237,0.823082,0.71478,1.987706,1,1
line,fusion_id,3,3,248,250,118,227,256,107,0.8,0.8,0.8,0.8,0.885333333333333,0.951686518889727,0.498,0.4865,0.4365,0.5366,0.5893,0,0.47,0.4845,0.4349,0.5345,0.5413,0,1.0289,1.0331,0.811154,0.689302,1.980716,1,1
line,fusion_id,3,3,218,268,134,275,234,127,0.8,0.8,0.8,0.8,0.645333333333333,0.949196175255534,0.4486,0.4917,0.4301,0.5455,0.788,0,0.5403,0.5014,0.4473,0.5606,0.9587,0,1.0186,0.9988,0.801603,0.687598,1.964113,1,1
line,fusion_id,3,3,301,240,126,202,259,132,0.8,0.8,0.8,0.8,0.644666666666667,0.948603172985873,0.5564,0.5075,0.4421,0.5793,0.8193,0,0.4382,0.4942,0.4145,0.5583,0.8967,0,0.9872,1.0143,0.769286,0.627481,1.950238,1,1
line,fusion_id,3,3,232,238,112,263,258,117,0.8,0.8,0.8,0.8,0.942666666666667,0.951687031111333,0.4936,0.4976,0.443,0.5502,0.9407,0,0.5048,0.4986,0.4464,0.5522,0.9487,0,1.0063,1.0043,0.80751,0.674786,1.973526,1,1
line,fusion_id,3,3,229,241,100,213,228,126,0.8,0.8,0.8,0.8,0.966666666666667,0.950285375450623,0.4872,0.4845,0.4325,0.5348,0.552,0,0.483,0.484,0.4316,0.5357,0.556,0,1.0331,1.0341,0.810675,0.689806,1.981854,1,1
line,fusion_id,3,3,230,217,120,246,242,105,0.8,0.8,0.8,0.8,0.981333333333333,0.95080265311774,0.5145,0.5078,0.4504,0.5645,0.8,0,0.5041,0.5073,0.4513,0.5639,0.8167,0,0.9861,0.987,0.81648,0.699494,1.975795,1,1
line,fusion_id,3,3,234,230,119,240,221,93,0.8,0.8,0.8,0.8,0.931333333333333,0.951672106349274,0.5043,0.5113,0.4462,0.5796,0.7573,0,0.5206,0.5122,0.4458,0.5791,0.7293,0,0.9798,0.9781,0.813489,0.684015,2.032776,1,1
line,fusion_id,3,3,226,216,120,253,248,131,0.8,0.8,0.8,0.8,0.946666666666667,0.950457881494965,0.5113,0.5088,0.4546,0.5626,0.7647,0,0.505,0.5078,0.4554,0.5619,0.79,0,0.984,0.986,0.798655,0.651764,1.952364,1,1
line,fusion_id,3,3,274,266,126,299,260,111,0.8,0.8,0.8,0.8,0.878666666666667,0.950476407746859,0.5074,0.5184,0.471,0.5662,0.4447,0,0.5349,0.5201,0.4735,0.5679,0.3907,0,0.9649,0.9615,0.782667,0.652904,1.90427,1,1
line,fusion_id,3,3,261,249,134,283,255,120,0.8,0.8,0.8,0.8,0.942,0.95218115405658,0.5118,0.5199,0.4665,0.5724,0.4607,0,0.526,0.5207,0.4674,0.5739,0.444,0,0.9624,0.9607,0.789981,0.65124,1.976639,1,1
line,fusion_id,3,3,221,276,117,294,210,129,0.8,0.8,0.8,0.8,0.482666666666667,0.944137940594176,0.4447,0.5015,0.4138,0.5645,0.8847,0,0.5833,0.5268,0.4615,0.6151,0.4527,0,0.9998,0.95,0.755562,0.60996,1.882577,1,1
line,fusion_id,3,3,227,268,118,245,250,131,0.8,0.8,0.8,0.8,0.867333333333333,0.952188725509385,0.4586,0.4746,0.4236,0.5252,0.3313,0,0.4949,0.4769,0.4274,0.5271,0.3647,0,1.0538,1.0489,0.804507,0.699957,1.957304,1,1
line,fusion_id,3,3,286,248,119,257,267,143,0.8,0.8,0.8,0.8,0.856,0.953092905604139,0.5356,0.5146,0.46,0.5689,0.6067,0,0.4905,0.5124,0.4567,0.5664,0.658,0,0.9726,0.977,0.820675,0.691628,1.987159,1,1
line,fusion_id,3,3,243,194,137,201,274,144,0.8,0.8,0.8,0.8,0.58,0.946236082739721,0.5561,0.4993,0.4265,0.5908,0.9287,0,0.4232,0.4774,0.3892,0.5514,0.5587,0,1.0047,1.0501,0.777291,0.658661,1.866697,1,1
line,fusion_id,3,3,227,250,138,220,263,147,0.8,0.8,0.8,0.8,0.926,0.952219352925115,0.4759,0.4622,0.3978,0.5234,0.23,0,0.4555,0.4605,0.3944,0.5243,0.2133,0,1.0812,1.085,0.821357,0.708247,2.022473,1,1
line,fusion_id,3,3,268,230,154,243,244,117,0.8,0.8,0.8,0.8,0.878666666666667,0.951214957218329,0.5382,0.5204,0.4612,0.5799,0.4893,0,0.499,0.5179,0.4599,0.5763,0.534,0,0.9615,0.9664,0.831837,0.727389,2.005411,1,1
line,fusion_id,3,3,201,271,131,240,264,127,0.8,0.8,0.8,0.8,0.768666666666667,0.952639389058325,0.4258,0.4496,0.403,0.4993,0.0473,1,0.4762,0.4532,0.4067,0.504,0.072,0,1.108,1.0999,0.822838,0.682993,1.992553,1,1
