comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,124,426,111,110,463,171,116,498,138,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.2255,0.2609,0.2012,0.3414,0,1,0.192,0.2146,0.1607,0.2855,0,1,0.1889,0.2249,0.1704,0.2997,0,1,1.6961,1.9314,1.8726,1,1,1
line,fusion_id,3,3,3,121,448,155,108,447,120,116,446,128,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.2127,0.2286,0.1817,0.2858,0,1,0.1946,0.2225,0.1764,0.281,0,1,0.2064,0.23,0.1818,0.2895,0,1,1.8476,1.8811,1.8405,1,1,1
