comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,124,426,111,110,463,171,116,498,138,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.951608406401919,0.2255,0.2063,0.1761,0.2419,0,1,0.192,0.2044,0.1742,0.2387,0,1,0.1889,0.2048,0.1745,0.2396,0,1,1.967,1.9782,1.9757,0.806065,0.675397,1.984901,1,1,1
line,fusion_id,3,3,3,121,448,155,108,447,120,116,446,128,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.951578327474174,0.2127,0.2059,0.1777,0.2372,0,1,0.1946,0.2055,0.1782,0.2368,0,1,0.2064,0.2058,0.1779,0.237,0,1,1.9685,1.9706,1.9689,0.814167,0.681591,1.932311,1,1,1
