comparison,FEATURE_ID,c1_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,prior_c1_g1,prior_c1_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,alpha1_postmean,c1_flag_analyze
line,fusion_id,3,74,280,367,0.5,0.5,NA,0.209,0.2352,0.1832,0.2995,0,1,1.8159,1
line,fusion_id,3,83,226,325,0.5,0.5,NA,0.2686,0.2926,0.2275,0.3727,7e-04,1,1.5665,1
