comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,73,313,363,80,299,338,68,280,332,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.951029907465181,0.1891,0.2011,0.1719,0.2325,0,1,0.2111,0.2019,0.1728,0.2324,0,1,0.1954,0.2015,0.173,0.2322,0,1,1.9982,1.993,1.9954,0.805804,0.684234,1.986707,1,1,1
line,fusion_id,3,3,3,70,317,327,74,313,365,74,336,326,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.951261414435706,0.1809,0.1915,0.1599,0.2253,0,1,0.1912,0.1915,0.1607,0.2251,0,1,0.1805,0.1914,0.1599,0.2255,0,1,2.0614,2.0611,2.0622,0.799505,0.687869,1.909661,1,1,1
