comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,235,68,323,312,76,352,333,93,354,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.7756,0.739,0.6628,0.8037,0,1,0.8041,0.7753,0.7073,0.8281,0,1,0.7817,0.7507,0.6802,0.8066,0,1,0.5944,0.5381,0.5762,1,1,1
line,fusion_id,3,3,3,252,81,328,277,67,287,342,94,371,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.7568,0.732,0.6636,0.7909,0,1,0.8052,0.7698,0.71,0.8211,0,1,0.7844,0.7616,0.7052,0.8129,0,1,0.6053,0.5467,0.5593,1,1,1
