comparison,FEATURE_ID,c1_num_reps,counts_c1_g1_rep1,counts_c1_g2_rep1,counts_c1_both_rep1,counts_c1_g1_rep2,counts_c1_g2_rep2,counts_c1_both_rep2,counts_c1_g1_rep3,counts_c1_g2_rep3,counts_c1_both_rep3,prior_c1_g1,prior_c1_g2,c1_flag_analyze
line,fusion_id,3,157,29,51,203,38,68,125,22,32,0.8,0.8,1
line,fusion_id,3,135,38,49,208,46,79,106,32,29,0.8,0.8,1
