comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,278,98,315,293,68,367,316,73,347,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.952288447278252,0.7394,0.7796,0.7396,0.8143,0,1,0.8116,0.7819,0.7444,0.816,0,1,0.8123,0.7819,0.7438,0.8165,0,1,0.5316,0.528,0.528,0.819405,0.692671,1.969159,1,1,1
line,fusion_id,3,3,3,263,71,371,242,67,354,325,79,381,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.950161410791574,0.7874,0.7944,0.7613,0.8253,0,1,0.7832,0.7942,0.7596,0.8249,0,1,0.8045,0.7952,0.7613,0.8263,0,1,0.5087,0.509,0.5074,0.789535,0.647428,2.011022,1,1,1
