comparison,FEATURE_ID,c1_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,prior_c1_g1,prior_c1_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,alpha1_postmean,c1_flag_analyze
line,fusion_id,3,303,77,347,0.5,0.5,NA,0.7974,0.7667,0.7005,0.822,0,1,0.5515,1
line,fusion_id,3,314,62,352,0.5,0.5,NA,0.8351,0.7829,0.6826,0.8462,0,1,0.5263,1
