comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,479,107,149,438,136,137,407,117,141,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.8174,0.7866,0.712,0.8399,0,1,0.7631,0.7433,0.6686,0.8012,0,1,0.7767,0.7536,0.6774,0.8116,0,1,0.5206,0.5878,0.5718,1,1,1
line,fusion_id,3,3,3,472,109,134,364,134,141,428,127,117,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.8124,0.7736,0.706,0.8245,0,1,0.7309,0.7129,0.6385,0.7765,0,1,0.7712,0.7467,0.6789,0.8024,0,1,0.5409,0.6349,0.5824,1,1,1
