comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,479,107,149,438,136,137,407,117,141,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.951579368277932,0.8174,0.7896,0.7528,0.8237,0,1,0.7631,0.7876,0.7512,0.8209,0,1,0.7767,0.7881,0.752,0.8214,0,1,0.5161,0.5192,0.5185,0.79591,0.659935,1.948139,1,1,1
line,fusion_id,3,3,3,472,109,134,364,134,141,428,127,117,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.951561548472383,0.8124,0.7708,0.7321,0.8061,0,1,0.7309,0.7679,0.7284,0.8026,0,1,0.7712,0.7693,0.7309,0.803,0,1,0.5453,0.5497,0.5475,0.793366,0.658904,1.958463,1,1,1
