comparison,FEATURE_ID,c1_num_reps,c2_num_reps,c3_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,counts_c3_g1,counts_c3_g2,counts_c3_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,prior_c3_g1,prior_c3_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_mean,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_mean,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,g1_c3_sampleprop,g1_c3_mean,g1_c3_q025,g1_c3_q975,g1_c3_Bayes_evidence,g1_c3_AI_decision,alpha1_postmean,alpha2_postmean,alpha3_postmean,c1_flag_analyze,c2_flag_analyze,c3_flag_analyze
line,fusion_id,3,3,3,530,111,159,453,115,159,421,104,180,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.8268,0.8056,0.755,0.8484,0,1,0.7975,0.7752,0.7132,0.8243,0,1,0.8019,0.787,0.7292,0.8354,0,1,0.4909,0.5384,0.5201,1,1,1
line,fusion_id,3,3,3,444,104,124,413,112,140,483,100,151,0.8,0.8,0.8,0.8,0.8,0.8,NA,0.8102,0.7811,0.7183,0.8313,0,1,0.7867,0.7616,0.6959,0.8155,0,1,0.8285,0.7988,0.7364,0.8456,0,1,0.5292,0.5595,0.5015,1,1,1
